                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    167,                0.11116,                0.96262,                      1,                0.35089,             0.00042065,             0.00042065,             0.00042065
                    168,                0.08685,                0.97477,                      1,                0.34644,             0.00041889,             0.00041889,             0.00041889
                    169,                0.12387,                0.74393,                      1,                0.53015,             0.00041712,             0.00041712,             0.00041712
                    170,                 0.1262,                0.96262,                      1,                0.35406,             0.00041535,             0.00041535,             0.00041535
                    171,                0.09416,                0.95514,                      1,                0.36127,             0.00041358,             0.00041358,             0.00041358
                    172,                 0.1014,                 0.9757,                      1,                0.34479,             0.00041182,             0.00041182,             0.00041182
                    173,                0.10885,                0.95794,                      1,                0.36438,             0.00041005,             0.00041005,             0.00041005
                    174,                0.09956,                0.93738,                      1,                 0.3916,             0.00040828,             0.00040828,             0.00040828
                    175,                0.08289,                0.97103,                      1,                0.35071,             0.00040652,             0.00040652,             0.00040652
                    176,                0.11411,                0.95794,                      1,                0.35931,             0.00040475,             0.00040475,             0.00040475
                    177,                0.10254,                0.96542,                      1,                0.35406,             0.00040298,             0.00040298,             0.00040298
                    178,                 0.0974,                0.96729,                      1,                0.34741,             0.00040121,             0.00040121,             0.00040121
                    179,                0.09323,                0.96729,                      1,                0.34955,             0.00039945,             0.00039945,             0.00039945
                    180,                0.09081,                0.96916,                      1,                0.34821,             0.00039768,             0.00039768,             0.00039768
                    181,                0.10374,                0.95607,                      1,                0.35431,             0.00039591,             0.00039591,             0.00039591
                    182,                0.09898,                0.97103,                      1,                 0.3476,             0.00039415,             0.00039415,             0.00039415
                    183,                0.11259,                0.95234,                      1,                0.36176,             0.00039238,             0.00039238,             0.00039238
                    184,                0.08996,                0.97383,                      1,                0.34631,             0.00039061,             0.00039061,             0.00039061
                    185,                0.11003,                 0.9486,                      1,                0.37445,             0.00038884,             0.00038884,             0.00038884
                    186,                0.09004,                0.95981,                      1,                0.35657,             0.00038708,             0.00038708,             0.00038708
                    187,                0.10613,                0.95327,                      1,                0.35712,             0.00038531,             0.00038531,             0.00038531
                    188,                0.09722,                0.96355,                      1,                0.35291,             0.00038354,             0.00038354,             0.00038354
                    189,                0.10565,                0.96542,                      1,                 0.3526,             0.00038178,             0.00038178,             0.00038178
                    190,                0.08355,                0.96075,                      1,                0.37054,             0.00038001,             0.00038001,             0.00038001
                    191,                 0.0883,                 0.9729,                      1,                0.34875,             0.00037824,             0.00037824,             0.00037824
                    192,                0.12278,                0.96542,                      1,                0.34637,             0.00037647,             0.00037647,             0.00037647
                    193,                 0.0995,                0.97383,                      1,                0.34381,             0.00037471,             0.00037471,             0.00037471
                    194,                0.09515,                0.96916,                      1,                0.34662,             0.00037294,             0.00037294,             0.00037294
                    195,                0.09547,                0.81589,                      1,                 0.4837,             0.00037117,             0.00037117,             0.00037117
                    196,                0.08934,                0.96636,                      1,                0.34796,             0.00036941,             0.00036941,             0.00036941
                    197,                0.07136,                0.97477,                      1,                0.34546,             0.00036764,             0.00036764,             0.00036764
                    198,                0.08737,                 0.9757,                      1,                0.34485,             0.00036587,             0.00036587,             0.00036587
                    199,                 0.0968,                0.96075,                      1,                0.35828,              0.0003641,              0.0003641,              0.0003641
                    200,                0.09015,                0.95981,                      1,                 0.3559,             0.00036234,             0.00036234,             0.00036234
                    201,                0.08462,                0.97383,                      1,                0.34406,             0.00036057,             0.00036057,             0.00036057
                    202,                0.10167,                0.95794,                      1,                0.35657,              0.0003588,              0.0003588,              0.0003588
                    203,                0.08674,                0.97477,                      1,                0.34277,             0.00035704,             0.00035704,             0.00035704
                    204,                0.08153,                0.97196,                      1,                0.34558,             0.00035527,             0.00035527,             0.00035527
                    205,                0.08803,                0.96168,                      1,                0.35205,              0.0003535,              0.0003535,              0.0003535
                    206,                0.08967,                 0.9729,                      1,                0.34253,             0.00035173,             0.00035173,             0.00035173
                    207,                 0.0942,                0.97009,                      1,                0.35059,             0.00034997,             0.00034997,             0.00034997
                    208,                0.09155,                0.96449,                      1,                0.35205,              0.0003482,              0.0003482,              0.0003482
                    209,                0.09086,                0.96542,                      1,                0.35199,             0.00034643,             0.00034643,             0.00034643
